2719,Barrow,Barrow Musa,A,A,13,14,13,14,Bologna,11,11,destro,Gambia,14/11/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BARROW.png?v=35,1,0.0,0.0
4268,Arnautovic,Arnautovic Marko,A,Pc,23,23,23,23,Inter,122,131,ambidestro,Austria;Serbia,19/04/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ARNAUTOVIC.png?v=35,0,6.33,6.67
5436,Raimondo,Raimondo Antonio,A,Pc,1,1,1,1,Bologna,1,1,sinistro,Italia,18/03/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,1,0.0,0.0
5086,Zirkzee,Zirkzee Joshua,A,Pc,13,11,12,10,Bologna,71,65,destro,Olanda;Nigeria,22/05/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZIRKZEE.png?v=35,0,6.67,7.83
1946,Aresti,Aresti Simone,P,Por,1,1,1,1,Cagliari,1,1,destro,Italia,15/03/1986 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ARESTI.png?v=35,0,0.0,0.0
3,Radunovic,Radunovic Boris,P,Por,8,8,8,8,Cagliari,13,13,destro,Serbia,26/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/RADUNOVIC.png?v=35,0,5.67,4.33
574,Scuffet,Scuffet Simone,P,Por,1,1,1,1,Cagliari,1,1,destro,Italia,31/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SCUFFET.png?v=35,0,0.0,0.0
5447,Altare,Altare Giorgio,D,Dc,3,3,3,3,Cagliari,4,4,destro,Italia,09/08/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ALTARE.png?v=35,1,0.0,0.0
454,Capradossi,Capradossi Elio,D,Dc,1,1,1,1,Cagliari,1,1,ambidestro,Italia;Uganda,11/03/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CAPRADOSSI.png?v=35,0,0.0,0.0
6230,Dossena,Dossena Alberto,D,Dc,6,6,6,6,Cagliari,7,7,destro,Italia,13/10/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.67,5.67
418,Goldaniga,Goldaniga Edoardo,D,Dc,3,3,3,3,Cagliari,3,3,ambidestro,Italia,02/11/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/GOLDANIGA.png?v=35,0,5.5,5.5
5701,Obert,Obert Adam,D,Dc,5,5,5,5,Cagliari,6,6,sinistro,Slovacchia,23/08/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/OBERT.png?v=35,0,5.5,5.5
5406,Di Pardo,Di Pardo Alessandro,D,Dd;E,3,2,3,2,Cagliari,3,3,destro,Italia,18/07/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.67,5.67
4461,Zappa,Zappa Gabriele,D,Dd;E,6,6,6,6,Cagliari,14,14,destro,Italia,22/12/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPA.png?v=35,0,5.67,5.67
4421,Augello,Augello Tommaso,D,Ds;E,5,5,5,5,Cagliari,12,12,sinistro,Italia,30/08/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/AUGELLO.png?v=35,0,5.75,5.75
6231,Azzi,Azzi Paulo,D,Ds;E,6,5,6,5,Cagliari,10,10,destro,Brasile;Italia,15/07/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.83,5.83
1987,Jankto,Jankto Jacub,C,E;C,8,7,8,8,Cagliari,15,18,sinistro,Repubblica Ceca,19/01/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/JANKTO.png?v=35,0,6.0,6.0
4514,Nandez,Nandez Nahitan,C,E;C,8,7,9,8,Cagliari,21,24,destro,Uruguay;Italia,28/12/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NANDEZ.png?v=35,0,6.33,6.33
1871,Deiola,Deiola Alessandro,C,M;C,4,4,4,4,Cagliari,5,6,destro,Italia,01/08/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DEIOLA.png?v=35,0,6.0,6.0
6232,Makoumbou,Makoumbou Antoine,C,M;C,5,5,6,6,Cagliari,8,10,destro,Congo;Francia,18/07/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.83,5.67
